Nombre,Categoría,Declaración de seguridad,Clasificación 1,Clasificación 2,Clasificación 3
tafenoquina,do,La tafenoquina puede causar daño fetal si se administra a una mujer embarazada si el feto presenta deficiencia de G6PD y no debe administrarse durante el embarazo. La tafenoquina está contraindicada durante el embarazo porque se desconoce el estado de G6PD del feto (G6PD = glucosa-6-fosfato deshidrogenasa).,Antimicrobianos,Antipalúdicos,
tafluprost,B3,,Medicamentos oftálmicos,,
talimogén laherparepvec (rmv),do,"Medicamentos que, debido a sus efectos farmacológicos, han causado o se sospecha que causan efectos nocivos en el feto o neonato humano sin causar malformaciones. Estos efectos pueden ser reversibles. Para más información, consulte los textos adjuntos.",Agentes antineoplásicos,,
tamoxifeno,B3,"Se debe aconsejar a las mujeres que no se embaracen mientras toman tamoxifeno ni durante los nueve meses posteriores a la interrupción del tratamiento, y que utilicen métodos anticonceptivos de barrera u otros métodos no hormonales si mantienen relaciones sexuales. Las pacientes premenopáusicas deben ser examinadas cuidadosamente antes del tratamiento para descartar un embarazo. Se debe informar a las mujeres sobre los posibles riesgos para el feto en caso de que se embaracen mientras toman tamoxifeno o durante los nueve meses posteriores a la interrupción del tratamiento.",Agentes antineoplásicos,Agentes antineoplásicos hormonales,
tamsulosina,B2,,Sistema genitourinario,Hiperplasia de próstata,
tapentadol,do,Los analgésicos opioides pueden causar depresión respiratoria en recién nacidos. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de este tipo de fármacos.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes antiinflamatorios no esteroides),analgésicos opioides
tasonermina,D,Existe un riesgo teórico de daño irreversible al feto debido a una posible ruptura de la vasculatura fetal y/o placentaria.,Alergia y sistema inmunológico,Inmunomodificadores,
tazaroteno,D," Al igual que otros retinoides, este medicamento puede causar daño fetal cuando se usa durante el embarazo.",Medicamentos utilizados en Dermatología,Actual,
tecnecio [99mTc],do,,Agentes de diagnóstico,,
 albúmina de tecnecio [99mTc] agregada,do,,Agentes de diagnóstico,,
bicisato de tecnecio [99mTc],do,,Agentes de diagnóstico,,
teclistamab,do,,Agentes antineoplásicos,anticuerpos monoclonales,
teduglutida,B1,,Sistema endocrino,agentes hipoglucemiantes,
tegafur,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Antimetabolitos,
tegaserod,B3,,Sistema alimentario,Procinética,
teicoplanina,B3,,Antimicrobianos,Antibióticos,
telaprevir,B2,,Antimicrobianos,agentes antivirales,
telbivudina,B1,,Antimicrobianos,agentes antivirales,
telmisartán,D,"Cuando se usan durante el segundo y tercer trimestre del embarazo, los medicamentos que actúan directamente sobre el sistema renina-angiotensina pueden causar lesiones e incluso la muerte del feto en desarrollo. Si bien no se han relacionado efectos adversos fetales con el uso de ARA en el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante el primer trimestre. Las mujeres embarazadas que toman ARA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no usar ARA para el manejo de la hipertensión en mujeres con probabilidad de embarazo.",Sistema cardiovascular,Antihipertensivos,Antagonistas del receptor de angiotensina II e inhibidores de la renina
telotristat etilo (como etiprato),B3,,Sistema alimentario,Antidiarreicos,
temazepam,do,"Las benzodiazepinas pueden causar hipotonía, depresión respiratoria e hipotermia en el recién nacido si se administran en dosis altas durante el parto. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de esta clase de fármacos.",Sistema nervioso central,Benzodiazepinas,
temozolomida,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes alquilantes,
temsirolimus,D,,Agentes antineoplásicos,,
tenecteplasa,do,,Sistema cardiovascular,agentes fibrinolíticos,
tenipósido,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,,
tenofovir,B3,,Antimicrobianos,agentes antivirales,
fumarato de tenofovir disoproxil / emtricitabina / elvitegravir / cobicistat,B3,,Antimicrobianos,agentes antivirales,
tenoxicam,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),
tepotinib,D,"Estudios en animales han demostrado teratogenicidad (incluyendo malformaciones). Según el mecanismo de acción y los hallazgos en animales, el tepotinib puede causar daño fetal cuando se administra a mujeres embarazadas.",Agentes antineoplásicos,,
terazosina,B2,,Sistema cardiovascular,Antihipertensivos,
terazosina,B2,,Sistema genitourinario,Trastornos de la función de la vejiga,
terbinafina,B1,,Antimicrobianos,Agentes antimicóticos (ver también antimicóticos tópicos),
terbutalina,A,,Sistema cardiovascular,estimulantes adrenérgicos,
terbutalina,A,,Sistema respiratorio,Agentes inhalatorios,Relajantes del broncoespasmo
terfenadina,B2,,Alergia y sistema inmunológico,Antihistamínicos,
teriflunomida,incógnita,Este medicamento puede causar daño fetal en humanos. No debe administrarse a mujeres embarazadas ni a mujeres en edad fértil que no utilicen métodos anticonceptivos eficaces durante el tratamiento con este medicamento ni durante un período posterior. Debe descartarse el embarazo antes de iniciar el tratamiento con este medicamento.,Alergia y sistema inmunológico,Inmunomodificadores,
teriparatida,B3,,Sistema endocrino,Agentes que afectan el metabolismo del calcio y los huesos,
terlipresina,D,,Sistema cardiovascular,Agentes hemostáticos,
testosterona,D,Los esteroides anabólicos y otras sustancias con efectos androgénicos pueden tener un efecto virilizante en el feto femenino y deben evitarse durante el embarazo.,Sistema endocrino,Andrógenos y esteroides anabólicos,
tetrabenazina,B3,,Sistema nervioso central,,
tetracaína,B2,,Medicamentos oftálmicos,,
tetracosactida,D,Se han notificado algunos casos de aborto espontáneo o malformación fetal en mujeres embarazadas tratadas con tetracosactrina.,Agentes de diagnóstico,Prueba de respuesta pituitaria-suprarrenal,
tetracosactrina (tetracosactida),D,Se han notificado algunos casos de aborto espontáneo o malformación fetal en mujeres embarazadas tratadas con tetracosactrina.,Agentes de diagnóstico,Prueba de respuesta pituitaria-suprarrenal,
tetraciclina,D,"Las tetraciclinas son seguras para su uso durante las primeras 18 semanas de embarazo (16 semanas después de la concepción), después de lo cual provocan decoloración de los dientes del bebé.",Antimicrobianos,Antibióticos,Tetraciclinas
tezacaftor / ivacaftor,B3,,Sistema respiratorio,,
talidomida,incógnita," La talidomida ha causado graves defectos congénitos al tomarse durante el embarazo. Incluso una sola dosis puede causar defectos congénitos. La talidomida nunca debe ser utilizada por mujeres embarazadas o que puedan quedar embarazadas mientras toman el medicamento, ni por mujeres que puedan quedar embarazadas dentro de las cuatro semanas posteriores a su interrupción.",Alergia y sistema inmunológico,Inmunomodificadores,
teofilina y derivados,A,,Sistema respiratorio,Agentes inhalatorios,Relajantes del broncoespasmo
tiabendazol,B3,,Antimicrobianos,Antihelmínticos,
tietilperazina,do,"Cuando se administran en dosis altas al final del embarazo, las fenotiazinas han provocado trastornos neurológicos prolongados en el bebé.",Sistema nervioso central,"Antieméticos, antinauseosos",fenotiazinas
tiopentona,A,"Todos los anestésicos generales pueden producir depresión del sistema nervioso central y respiratoria en el recién nacido. En la práctica habitual, esto no parece ser un problema. Sin embargo, en el feto con problemas de salud, se debe considerar cuidadosamente esta posible depresión y la selección de fármacos, dosis y técnicas anestésicas específicas.",Medicamentos utilizados en anestesia,Anestésicos generales,
tiopropazato,do,"Cuando se administran en dosis altas al final del embarazo, las fenotiazinas han provocado trastornos neurológicos prolongados en el recién nacido.",Sistema nervioso central,fármacos antipsicóticos,fenotiazinas
tioridazina,do,"Cuando se administran en dosis altas al final del embarazo, las fenotiazinas han provocado trastornos neurológicos prolongados en el recién nacido.",Sistema nervioso central,fármacos antipsicóticos,fenotiazinas
tiotepa,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes alquilantes,
tiotixeno,do,"Los neonatos expuestos a antipsicóticos durante el tercer trimestre del embarazo corren el riesgo de experimentar trastornos neurológicos extrapiramidales o síntomas de abstinencia tras el parto. Se han notificado casos de agitación, hipertonía, hipotonía, temblor, somnolencia, dificultad respiratoria y trastornos de la alimentación en estos neonatos.",Sistema nervioso central,fármacos antipsicóticos,
trombina,B2,,Sistema cardiovascular,Agentes hemostáticos,
tirotropina,B2,,Sistema endocrino,hormonas pituitarias,
tirotropina alfa,B2,,Agentes de diagnóstico,Agentes radiográficos,
tiroxina (levotiroxina),A,,Sistema endocrino,hormonas tiroideas,
tiagabina,B3,"En comparación con los anticonvulsivos convencionales, se desconoce el alcance del riesgo de este fármaco.",Sistema nervioso central,Anticonvulsivos/antiepilépticos,
ácido tiaprofénico,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),
tibolona,D,El tratamiento oral con este fármaco durante el período de organogénesis se asoció con malformaciones fetales en ratas y conejos.,Sistema endocrino,Agentes hormonales,
ticagrelor,B1,,Sistema cardiovascular,,
 ticarcilina,B2,,Antimicrobianos,Antibióticos,penicilinas
ticlopidina,B1,Todos los anticoagulantes y agentes trombolíticos pueden producir hemorragia placentaria y posterior prematuridad y pérdida fetal.,Sistema cardiovascular,Anticoagulantes y agentes trombolíticos,
tigeciclina,D,"Las tetraciclinas son seguras para su uso durante las primeras 18 semanas de embarazo (16 semanas después de la concepción), después de lo cual provocan decoloración de los dientes del bebé.",Antimicrobianos,Antibióticos,Tetraciclinas
tildrakizumab,B1,,Alergia y sistema inmunológico,Inmunomodificadores,
tilmanocept,do,"No existen datos sobre el uso de tilmanocept en mujeres embarazadas. No se han realizado estudios de toxicidad reproductiva en animales, y se desconoce si el tilmanocept puede causar daño fetal al administrarse a mujeres embarazadas. Los procedimientos con radionúclidos realizados en mujeres embarazadas también implican una dosis de radiación para el feto. Por lo tanto, solo deben realizarse estudios esenciales durante el embarazo, cuando el posible beneficio supere con creces el riesgo para la madre y el feto.",Agentes de diagnóstico,Agentes radiográficos,
